id,celltype,biosampletype,ctrltype,lab
ENCFF001HNS,HeLa-S3,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RRV,GM13977,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000ZIZ,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF000CIU,fibroblast of dermis,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HTJ,Jurkat,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000RCK,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ODZ,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ABO,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF002ECV,H1-hESC,stem cell,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000BDZ,HepG2,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002DTX,MCF-7,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFC,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002ELX,MCF-7,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000VJK,Panc1,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000XJE,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000ZID,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF001HID,GM12878,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000QUI,Panc1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EGI,K562,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000CQP,fibroblast of lung,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000RTF,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000YCS,IMR-90,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HKT,cardiac fibroblast,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000ZVJ,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF000ZWC,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF000CMJ,keratinocyte,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001EWG,GM12864,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EHR,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000AHV,A549,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000QQJ,MCF-7,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HGV,GM12873,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002BAV,Oci-Ly-7,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000NPN,ECC-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002BFZ,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECS,K562,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QFS,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002ECU,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EEZ,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
